"time" "cases"
"1" 1 1518
"2" 2 1145
"3" 3 1179
"4" 4 1188
"5" 5 1618
"6" 6 1729
"7" 7 1545
"8" 8 1631
"9" 9 1628
"10" 10 1607
"11" 11 1265
"12" 12 1676
"13" 13 1480
"14" 14 1415
"15" 15 1281
"16" 16 1395
"17" 17 1785
"18" 18 1402
"19" 19 1689
"20" 20 1193
"21" 21 1468
"22" 22 1593
"23" 23 1500
"24" 24 1434
"25" 25 1446
"26" 26 1684
"27" 27 1673
"28" 28 1436
"29" 29 1470
"30" 30 1441
"31" 31 1320
"32" 32 1365
"33" 33 1430
"34" 34 1414
"35" 35 1495
"36" 36 1565
"37" 37 1548
"38" 38 1729
"39" 39 1398
"40" 40 1584
"41" 41 1401
"42" 42 1401
"43" 43 1346
"44" 44 1649
"45" 45 1853
"46" 46 1575
"47" 47 1398
"48" 48 1359
"49" 49 1668
"50" 50 1429
