"time" "cases"
"1" 1 1877
"2" 2 1556
"3" 3 1570
"4" 4 1323
"5" 5 1632
"6" 6 1397
"7" 7 1526
"8" 8 1498
"9" 9 1505
"10" 10 1323
"11" 11 1673
"12" 12 1532
"13" 13 1343
"14" 14 1454
"15" 15 1406
"16" 16 1559
"17" 17 1760
"18" 18 1610
"19" 19 1483
"20" 20 1737
"21" 21 1479
"22" 22 1355
"23" 23 1598
"24" 24 1428
"25" 25 1392
"26" 26 1158
"27" 27 1337
"28" 28 1479
"29" 29 1645
"30" 30 1313
"31" 31 1696
"32" 32 1700
"33" 33 1352
"34" 34 1464
"35" 35 1462
"36" 36 1756
"37" 37 1300
"38" 38 1080
"39" 39 1420
"40" 40 1817
"41" 41 1666
"42" 42 1645
"43" 43 1179
"44" 44 1399
"45" 45 1381
"46" 46 1596
"47" 47 1807
"48" 48 1983
"49" 49 1519
"50" 50 1323
