"time" "cases"
"1" 1 1527
"2" 2 1541
"3" 3 1296
"4" 4 1523
"5" 5 1529
"6" 6 1479
"7" 7 1234
"8" 8 1677
"9" 9 1346
"10" 10 1395
"11" 11 1474
"12" 12 1504
"13" 13 1594
"14" 14 1107
"15" 15 1588
"16" 16 1406
"17" 17 1545
"18" 18 1527
"19" 19 1520
"20" 20 1391
"21" 21 1811
"22" 22 1560
"23" 23 1519
"24" 24 1702
"25" 25 1250
"26" 26 1204
"27" 27 1450
"28" 28 1438
"29" 29 1364
"30" 30 1225
"31" 31 1701
"32" 32 1527
"33" 33 1749
"34" 34 1467
"35" 35 1283
"36" 36 1494
"37" 37 1639
"38" 38 1423
"39" 39 1350
"40" 40 1127
"41" 41 1594
"42" 42 1453
"43" 43 1458
"44" 44 1438
"45" 45 1561
"46" 46 1381
"47" 47 1418
"48" 48 1517
"49" 49 1648
"50" 50 1476
