"time" "cases"
"1" 1 2546
"2" 2 1076
"3" 3 459
"4" 4 1051
"5" 5 3123
"6" 6 1680
"7" 7 1082
"8" 8 533
"9" 9 884
"10" 10 2675
"11" 11 2402
"12" 12 1050
"13" 13 524
"14" 14 826
"15" 15 2788
"16" 16 2433
"17" 17 1002
"18" 18 609
"19" 19 788
"20" 20 2759
"21" 21 1734
"22" 22 1054
"23" 23 539
"24" 24 891
"25" 25 3725
"26" 26 1935
"27" 27 1323
"28" 28 409
"29" 29 850
"30" 30 2378
"31" 31 2652
"32" 32 866
"33" 33 469
"34" 34 881
"35" 35 2609
"36" 36 2643
"37" 37 928
"38" 38 415
"39" 39 1021
"40" 40 2387
"41" 41 2936
"42" 42 1051
"43" 43 554
"44" 44 935
"45" 45 2947
"46" 46 2560
"47" 47 1098
"48" 48 473
"49" 49 965
"50" 50 2695
