"time" "cases"
"1" 1 1323
"2" 2 1468
"3" 3 1605
"4" 4 1560
"5" 5 1528
"6" 6 1653
"7" 7 1731
"8" 8 1559
"9" 9 1406
"10" 10 1431
"11" 11 1573
"12" 12 1421
"13" 13 1227
"14" 14 1282
"15" 15 1363
"16" 16 1678
"17" 17 1671
"18" 18 1496
"19" 19 1345
"20" 20 1644
"21" 21 1628
"22" 22 1515
"23" 23 1265
"24" 24 1506
"25" 25 1448
"26" 26 1666
"27" 27 1337
"28" 28 1640
"29" 29 1382
"30" 30 1521
"31" 31 1452
"32" 32 1453
"33" 33 1441
"34" 34 1456
"35" 35 1634
"36" 36 1454
"37" 37 1557
"38" 38 1502
"39" 39 1675
"40" 40 1413
"41" 41 1120
"42" 42 1527
"43" 43 1157
"44" 44 1266
"45" 45 1638
"46" 46 1420
"47" 47 1415
"48" 48 1453
"49" 49 1445
"50" 50 1303
