"time" "cases"
"1" 1 1752
"2" 2 1404
"3" 3 1470
"4" 4 1612
"5" 5 1560
"6" 6 1505
"7" 7 1519
"8" 8 1462
"9" 9 1377
"10" 10 1548
"11" 11 1276
"12" 12 1657
"13" 13 1587
"14" 14 1328
"15" 15 1561
"16" 16 1541
"17" 17 1314
"18" 18 1315
"19" 19 1448
"20" 20 1404
"21" 21 1361
"22" 22 1226
"23" 23 1984
"24" 24 1351
"25" 25 1398
"26" 26 1297
"27" 27 1587
"28" 28 1582
"29" 29 1576
"30" 30 1328
"31" 31 1340
"32" 32 1663
"33" 33 1602
"34" 34 1378
"35" 35 1442
"36" 36 1728
"37" 37 1211
"38" 38 1775
"39" 39 1602
"40" 40 1969
"41" 41 1688
"42" 42 1422
"43" 43 1613
"44" 44 1302
"45" 45 1755
"46" 46 1784
"47" 47 1573
"48" 48 1863
"49" 49 1458
"50" 50 1430
