"time" "cases"
"1" 1 1508
"2" 2 1350
"3" 3 1248
"4" 4 1387
"5" 5 1518
"6" 6 1441
"7" 7 1611
"8" 8 1641
"9" 9 1608
"10" 10 1543
"11" 11 1338
"12" 12 1674
"13" 13 1327
"14" 14 1349
"15" 15 1407
"16" 16 1292
"17" 17 1506
"18" 18 1357
"19" 19 1675
"20" 20 1528
"21" 21 1197
"22" 22 1538
"23" 23 1486
"24" 24 1408
"25" 25 1196
"26" 26 1919
"27" 27 1627
"28" 28 1416
"29" 29 1814
"30" 30 1439
"31" 31 1400
"32" 32 1388
"33" 33 1595
"34" 34 1720
"35" 35 1575
"36" 36 1610
"37" 37 1345
"38" 38 1820
"39" 39 1628
"40" 40 1471
"41" 41 1774
"42" 42 1340
"43" 43 1201
"44" 44 1595
"45" 45 1519
"46" 46 1671
"47" 47 1567
"48" 48 1381
"49" 49 1280
"50" 50 1499
