"time" "cases"
"1" 1 1722
"2" 2 1444
"3" 3 1524
"4" 4 1402
"5" 5 1665
"6" 6 1253
"7" 7 1863
"8" 8 1423
"9" 9 1565
"10" 10 1625
"11" 11 1636
"12" 12 1452
"13" 13 1409
"14" 14 1557
"15" 15 1377
"16" 16 1331
"17" 17 1231
"18" 18 1509
"19" 19 1553
"20" 20 1422
"21" 21 1225
"22" 22 1407
"23" 23 1716
"24" 24 1539
"25" 25 1401
"26" 26 1485
"27" 27 1289
"28" 28 1493
"29" 29 1253
"30" 30 1434
"31" 31 1596
"32" 32 1394
"33" 33 1433
"34" 34 1558
"35" 35 1376
"36" 36 1467
"37" 37 1544
"38" 38 1577
"39" 39 1841
"40" 40 1700
"41" 41 1317
"42" 42 1635
"43" 43 1484
"44" 44 1508
"45" 45 1459
"46" 46 1626
"47" 47 1264
"48" 48 1126
"49" 49 1597
"50" 50 1717
