"time" "cases"
"1" 1 2980
"2" 2 1013
"3" 3 440
"4" 4 905
"5" 5 2511
"6" 6 2266
"7" 7 1008
"8" 8 395
"9" 9 971
"10" 10 2645
"11" 11 2587
"12" 12 842
"13" 13 513
"14" 14 842
"15" 15 2922
"16" 16 2430
"17" 17 1128
"18" 18 417
"19" 19 957
"20" 20 2461
"21" 21 2062
"22" 22 1283
"23" 23 423
"24" 24 820
"25" 25 2597
"26" 26 2591
"27" 27 1119
"28" 28 514
"29" 29 897
"30" 30 3175
"31" 31 2267
"32" 32 958
"33" 33 398
"34" 34 1084
"35" 35 2595
"36" 36 2214
"37" 37 1052
"38" 38 595
"39" 39 825
"40" 40 2567
"41" 41 2103
"42" 42 1313
"43" 43 380
"44" 44 883
"45" 45 2637
"46" 46 1946
"47" 47 1308
"48" 48 512
"49" 49 942
"50" 50 2661
