"time" "cases"
"1" 1 1471
"2" 2 1172
"3" 3 1325
"4" 4 1565
"5" 5 1269
"6" 6 1772
"7" 7 1928
"8" 8 1605
"9" 9 1667
"10" 10 1369
"11" 11 1339
"12" 12 1468
"13" 13 1408
"14" 14 1685
"15" 15 1531
"16" 16 1608
"17" 17 1451
"18" 18 1372
"19" 19 1685
"20" 20 1582
"21" 21 1819
"22" 22 1251
"23" 23 1255
"24" 24 1364
"25" 25 1690
"26" 26 1502
"27" 27 1692
"28" 28 1759
"29" 29 1675
"30" 30 1478
"31" 31 1458
"32" 32 1448
"33" 33 1515
"34" 34 1597
"35" 35 1500
"36" 36 1452
"37" 37 1610
"38" 38 1406
"39" 39 1470
"40" 40 1566
"41" 41 1435
"42" 42 1594
"43" 43 1595
"44" 44 1628
"45" 45 1701
"46" 46 1759
"47" 47 1380
"48" 48 1104
"49" 49 1406
"50" 50 1838
