"time" "cases"
"1" 1 1829
"2" 2 1541
"3" 3 1398
"4" 4 1303
"5" 5 1391
"6" 6 1556
"7" 7 1207
"8" 8 1324
"9" 9 1439
"10" 10 1367
"11" 11 1598
"12" 12 1727
"13" 13 1491
"14" 14 1346
"15" 15 1433
"16" 16 1402
"17" 17 1537
"18" 18 1720
"19" 19 1331
"20" 20 1655
"21" 21 1416
"22" 22 1900
"23" 23 1607
"24" 24 1412
"25" 25 1310
"26" 26 1533
"27" 27 1467
"28" 28 1469
"29" 29 1774
"30" 30 1599
"31" 31 1424
"32" 32 1146
"33" 33 1622
"34" 34 1964
"35" 35 1619
"36" 36 1699
"37" 37 1335
"38" 38 1562
"39" 39 1264
"40" 40 1280
"41" 41 1620
"42" 42 1482
"43" 43 1353
"44" 44 1341
"45" 45 1571
"46" 46 1308
"47" 47 1498
"48" 48 1736
"49" 49 1686
"50" 50 1634
