"time" "cases"
"1" 1 1275
"2" 2 1241
"3" 3 1223
"4" 4 1436
"5" 5 1382
"6" 6 1429
"7" 7 1358
"8" 8 1777
"9" 9 1564
"10" 10 1358
"11" 11 1588
"12" 12 1509
"13" 13 1618
"14" 14 1546
"15" 15 1313
"16" 16 1347
"17" 17 1197
"18" 18 1426
"19" 19 1701
"20" 20 1362
"21" 21 1386
"22" 22 1935
"23" 23 1655
"24" 24 1572
"25" 25 1648
"26" 26 1411
"27" 27 1304
"28" 28 1661
"29" 29 1465
"30" 30 1131
"31" 31 1446
"32" 32 1430
"33" 33 1402
"34" 34 1408
"35" 35 1634
"36" 36 1618
"37" 37 1382
"38" 38 1407
"39" 39 1650
"40" 40 1379
"41" 41 1411
"42" 42 1623
"43" 43 1441
"44" 44 1503
"45" 45 1573
"46" 46 1721
"47" 47 1478
"48" 48 1443
"49" 49 1540
"50" 50 1457
