"time" "cases"
"1" 1 1410
"2" 2 1527
"3" 3 1613
"4" 4 1811
"5" 5 1390
"6" 6 1599
"7" 7 1645
"8" 8 1386
"9" 9 1775
"10" 10 1279
"11" 11 1437
"12" 12 1625
"13" 13 1503
"14" 14 1462
"15" 15 1530
"16" 16 1548
"17" 17 1371
"18" 18 1444
"19" 19 1533
"20" 20 1594
"21" 21 1819
"22" 22 1507
"23" 23 1099
"24" 24 1702
"25" 25 1356
"26" 26 1691
"27" 27 1870
"28" 28 1459
"29" 29 1555
"30" 30 1456
"31" 31 1783
"32" 32 1318
"33" 33 1189
"34" 34 1550
"35" 35 1715
"36" 36 1231
"37" 37 1850
"38" 38 1685
"39" 39 1647
"40" 40 1416
"41" 41 1599
"42" 42 1441
"43" 43 1284
"44" 44 1478
"45" 45 1583
"46" 46 1562
"47" 47 1269
"48" 48 1366
"49" 49 1379
"50" 50 1734
