"time" "cases"
"1" 1 1458
"2" 2 1672
"3" 3 1572
"4" 4 2110
"5" 5 1581
"6" 6 1299
"7" 7 1539
"8" 8 1565
"9" 9 1656
"10" 10 1199
"11" 11 1254
"12" 12 1851
"13" 13 1217
"14" 14 1516
"15" 15 1475
"16" 16 1496
"17" 17 1665
"18" 18 1741
"19" 19 1711
"20" 20 1521
"21" 21 1638
"22" 22 1393
"23" 23 1567
"24" 24 1573
"25" 25 1467
"26" 26 1268
"27" 27 1234
"28" 28 1634
"29" 29 1353
"30" 30 1470
"31" 31 1281
"32" 32 1386
"33" 33 1382
"34" 34 1636
"35" 35 1332
"36" 36 1611
"37" 37 1725
"38" 38 1434
"39" 39 1374
"40" 40 1308
"41" 41 1406
"42" 42 1325
"43" 43 1686
"44" 44 1469
"45" 45 1504
"46" 46 1700
"47" 47 1294
"48" 48 1408
"49" 49 1347
"50" 50 1955
