"time" "cases"
"1" 1 1671
"2" 2 1631
"3" 3 1331
"4" 4 1594
"5" 5 1541
"6" 6 1657
"7" 7 1627
"8" 8 1740
"9" 9 1662
"10" 10 1216
"11" 11 1884
"12" 12 1340
"13" 13 1333
"14" 14 1651
"15" 15 1293
"16" 16 1583
"17" 17 1806
"18" 18 1407
"19" 19 1406
"20" 20 1769
"21" 21 1467
"22" 22 1691
"23" 23 1442
"24" 24 1327
"25" 25 1485
"26" 26 1440
"27" 27 1145
"28" 28 1552
"29" 29 1778
"30" 30 1679
"31" 31 1835
"32" 32 1724
"33" 33 1525
"34" 34 1570
"35" 35 1686
"36" 36 1298
"37" 37 1787
"38" 38 1336
"39" 39 1565
"40" 40 1634
"41" 41 1556
"42" 42 1850
"43" 43 1357
"44" 44 1529
"45" 45 1310
"46" 46 1270
"47" 47 1334
"48" 48 1507
"49" 49 1564
"50" 50 1125
